Geographic area,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Reference Date,Observation Value,Lower Bound,Upper Bound,Standard Error,Observation Status,Unit of measure,Series Type,Series Category,Series Method,Interval
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1964.5,49.74987662,38.86655123,64.06381859,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1965.5,49.90029902,40.18063815,62.47615498,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1966.5,49.95244088,41.05502959,61.44003426,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1967.5,49.87207027,41.64268893,60.65701046,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1968.5,49.93796193,42.08067514,60.11190837,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1969.5,49.96911529,42.29785441,59.68635381,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1970.5,49.9224764,42.36042765,59.10101772,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1971.5,49.74025861,42.3233048,58.77919217,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1972.5,50.70880765,43.39598981,59.4487362,,Normal value,"Deaths per 1,000 live births",,,,1.0
Burundi,Neonatal mortality rate,Total,Total,UN IGME estimate,2023.0,1973.5,49.32266316,42.18981578,57.86880086,,Normal value,"Deaths per 1,000 live births",,,,1.0
